company_id,company_name,industry,company_size,region,plan_tier,seats_licensed,mrr,signup_date,is_churned,churn_month
CUST_0001,Pulse Networks,EdTech,SMB,East,Basic,38,12356,2024-10-01,0,
CUST_0002,Zenith Pvt Ltd,Healthcare,SMB,South,Basic,33,8839,2023-04-01,1,2023-07-01
CUST_0003,Prime Networks,Healthcare,SMB,West,Pro,30,18602,2024-01-01,0,
CUST_0004,Pulse Solutions,Healthcare,SMB,North,Pro,12,7589,2023-10-01,1,2024-04-01
CUST_0005,Drift Industries,Healthcare,Enterprise,North,Pro,442,226690,2023-03-01,0,
CUST_0006,Nova Solutions,IT Services,Mid,South,Enterprise,85,94618,2023-09-01,1,2024-01-01
CUST_0007,Zenith Networks,IT Services,SMB,West,Basic,13,4449,2024-01-01,1,2024-09-01
CUST_0008,Onyx Solutions,BFSI,Mid,North,Pro,98,60042,2023-09-01,0,
CUST_0009,Acme Enterprises,BFSI,Mid,North,Pro,174,98019,2024-02-01,0,
CUST_0010,Quanta Logistics,EdTech,Mid,North,Basic,186,61080,2024-06-01,0,
CUST_0011,Zenith Technologies,BFSI,Mid,East,Enterprise,91,120667,2024-01-01,0,
CUST_0012,Acme Logistics,Manufacturing,Mid,East,Pro,87,54354,2023-04-01,0,
CUST_0013,Pulse Enterprises,BFSI,Mid,East,Pro,51,28176,2024-03-01,0,
CUST_0014,Drift Retail,IT Services,SMB,North,Basic,22,7383,2024-06-01,0,
CUST_0015,Echo0 Systems,Healthcare,SMB,South,Pro,24,13228,2023-08-01,0,
CUST_0016,Bharat Retail,IT Services,Mid,South,Pro,112,74688,2024-01-01,0,
CUST_0017,Drift Enterprises,EdTech,Mid,East,Pro,142,95598,2023-02-01,0,
CUST_0018,Bright Pvt Ltd,BFSI,SMB,East,Basic,36,9899,2024-08-01,0,
CUST_0019,Drift Industries,Logistics,SMB,East,Basic,41,11945,2024-06-01,0,
CUST_0020,Orbit Technologies,Retail,SMB,East,Basic,26,8915,2024-11-01,0,
CUST_0021,Nova Industries,EdTech,Mid,West,Pro,103,70803,2024-12-01,0,
CUST_0022,Indus Technologies,Retail,SMB,West,Basic,47,14659,2023-07-01,0,
CUST_0023,Echo0 Networks,EdTech,Mid,East,Enterprise,143,162640,2023-05-01,0,
CUST_0024,Pulse Solutions,Retail,SMB,East,Basic,41,13925,2023-09-01,1,2024-08-01
CUST_0025,Apex Industries,Healthcare,SMB,West,Basic,34,10326,2023-11-01,1,2024-02-01
